NCBIGENE:1	A1BG
NCBIGENE:100	ADA
NCBIGENE:10004	NAALADL1
NCBIGENE:100049587	SIGLEC14
NCBIGENE:10011	SRA1
NCBIGENE:100126297	MIR300
NCBIGENE:100131303	DPEP2NB
NCBIGENE:100131814	LINC00271
NCBIGENE:100132396	ZNF705B
NCBIGENE:100169760	RNA5S9
NCBIGENE:10025	MED16
NCBIGENE:100287178	USP17L11
NCBIGENE:100287513	USP17L22
NCBIGENE:100288142	NBPF20
NCBIGENE:100289087	TSPY10
NCBIGENE:100293516	ZNF587B
NCBIGENE:100302142	MIR1246
NCBIGENE:100526783	ARPIN-AP3S2
NCBIGENE:10054	UBA2
NCBIGENE:10061	ABCF2
NCBIGENE:100616340	MIR4758
NCBIGENE:100616452	MIR2682
NCBIGENE:10066	SCAMP2
NCBIGENE:100775105	ERVK-18
NCBIGENE:100847052	MIR664B
NCBIGENE:100996648	TCP11X2
NCBIGENE:10100	TSPAN2
NCBIGENE:10107	TRIM10
NCBIGENE:10120	ACTR1B
NCBIGENE:10129	FRY
NCBIGENE:10130	PDIA6
NCBIGENE:10134	BCAP31
NCBIGENE:10138	YAF2
NCBIGENE:10156	RASA4
NCBIGENE:10159	ATP6AP2
NCBIGENE:10208	USPL1
NCBIGENE:10215	OLIG2
NCBIGENE:10229	COQ7
NCBIGENE:10248	POP7
NCBIGENE:10255	HCG9
NCBIGENE:10261	IGSF6
NCBIGENE:102723631	CT45A10
NCBIGENE:102724127	TP53TG3F
NCBIGENE:102724652	CRYAA2
NCBIGENE:102725138	LOC102725138
NCBIGENE:10276	NET1
NCBIGENE:10293	TRAIP
NCBIGENE:10297	APC2
NCBIGENE:10302	SNAPC5
NCBIGENE:10319	LAMC3
NCBIGENE:10324	KLHL41
NCBIGENE:10327	AKR1A1
NCBIGENE:10370	CITED2
NCBIGENE:10393	ANAPC10
NCBIGENE:10403	NDC80
NCBIGENE:10444	ZER1
NCBIGENE:10449	ACAA2
NCBIGENE:10473	HMGN4
NCBIGENE:10492	SYNCRIP
NCBIGENE:10498	CARM1
NCBIGENE:10517	FBXW10
NCBIGENE:10522	DEAF1
NCBIGENE:105375355	UPK3B
NCBIGENE:10539	GLRX3
NCBIGENE:10562	OLFM4
NCBIGENE:10566	AKAP3
NCBIGENE:10569	SLU7
NCBIGENE:10574	CCT7
NCBIGENE:10580	SORBS1
NCBIGENE:10622	POLR3G
NCBIGENE:10623	POLR3C
NCBIGENE:10630	PDPN
NCBIGENE:10643	IGF2BP3
NCBIGENE:10654	PMVK
NCBIGENE:10655	DMRT2
NCBIGENE:10658	CELF1
NCBIGENE:10663	CXCR6
NCBIGENE:10741	RBBP9
NCBIGENE:10744	PTTG2
NCBIGENE:10752	CHL1
NCBIGENE:10771	ZMYND11
NCBIGENE:10776	ARPP19
NCBIGENE:10781	ZNF266
NCBIGENE:107987373	LOC107987373
NCBIGENE:10800	CYSLTR1
NCBIGENE:10801	SEPTIN9
NCBIGENE:10818	FRS2
NCBIGENE:10845	CLPX
NCBIGENE:10856	RUVBL2
NCBIGENE:10890	RAB10
NCBIGENE:10891	PPARGC1A
NCBIGENE:10897	YIF1A
NCBIGENE:10916	MAGED2
NCBIGENE:10917	BTNL3
NCBIGENE:10922	FASTK
NCBIGENE:10942	PRSS21
NCBIGENE:10949	HNRNPA0
NCBIGENE:10950	BTG3
NCBIGENE:10953	TOMM34
NCBIGENE:11021	RAB35
NCBIGENE:11027	LILRA2
NCBIGENE:11033	ADAP1
NCBIGENE:11034	DSTN
NCBIGENE:11037	STON1
NCBIGENE:11040	PIM2
NCBIGENE:11046	SLC35D2
